Date,Open,High,Low,Close,Volume,Adj Close
2015-12-01,118.75,119.860001,104.82,105.260002,43734700,102.524529
2015-11-02,120.800003,123.82,111.00,118.300003,39491000,115.225647
2015-10-01,109.07,121.220001,107.309998,119.50,52804000,115.898346
2015-09-01,110.150002,116.889999,107.360001,110.300003,60620000,106.975632
2015-08-03,121.50,122.57,92.00,112.760002,79152700,109.361488
2015-07-01,126.900002,132.970001,119.220001,121.300003,50017800,117.113991
2015-06-01,130.279999,131.389999,124.480003,125.43,41949200,121.101463
2015-05-01,126.099998,132.970001,123.360001,130.279999,50251800,125.784088
2015-04-01,124.82,134.539993,123.099998,125.150002,51396700,120.328499
2015-03-02,129.25,130.279999,121.629997,124.43,53669600,119.636238
2015-02-02,118.050003,133.600006,116.080002,128.460007,63081500,123.510986
2015-01-02,111.389999,120.00,104.629997,117.160004,69419400,112.203506
2014-12-01,118.809998,119.25,106.260002,110.379997,50681700,105.710335
2014-11-03,108.220001,119.75,107.720001,118.93,44485400,113.898628
2014-10-01,100.589996,108.040001,95.18,108.00,61083400,102.984459
2014-09-02,103.059998,103.739998,96.139999,100.75,75318200,96.071152
2014-08-01,94.900002,102.900002,93.279999,102.50,46746200,97.739883
2014-07-01,93.519997,99.440002,92.57,95.599998,49633100,90.709122
2014-06-02,633.959961,651.26001,89.650002,92.93,59829300,88.17572
2014-05-01,592.00,644.169983,580.330017,633.00,74996300,85.802269
2014-04-01,537.76001,599.429993,511.329987,590.089966,82044000,79.541603
2014-03-03,523.419983,549.00,522.809998,536.73999,61552000,72.35025
2014-02-03,502.610016,551.190002,499.300018,526.23999,82267500,70.934898
2014-01-02,555.679993,560.200012,493.549988,500.599976,109889900,67.077225
2013-12-02,558.00,575.140015,538.799988,561.02002,86672400,75.173126
2013-11-01,524.02002,558.330017,512.380005,556.069946,69291000,74.509857
2013-10-01,478.449982,539.25,478.279999,522.699951,88189400,69.63195
2013-09-03,493.099976,507.919983,447.220001,476.749969,111138700,63.510681
2013-08-01,455.749969,513.73999,453.259979,487.220032,94666300,64.905457
2013-07-01,402.690002,457.339966,401.220001,452.529968,77966700,59.888763
2013-06-03,450.72998,454.429993,388.869995,396.529999,94963100,52.477612
2013-05-01,444.459991,465.75,418.899994,449.730042,111725300,59.518211
2013-04-01,441.899994,445.25,385.100006,442.779999,132443500,58.21312
2013-03-01,438.00,469.949982,419.00,442.660004,120246400,58.197346
2013-02-01,459.109985,484.940002,437.660004,441.400024,127191400,58.031689
2013-01-02,553.820007,555.00,435.00,455.48999,160032800,59.537144
2012-12-03,593.650024,594.590027,501.230011,532.169983,159903000,69.55999
2012-11-01,598.219971,603.00,505.75,585.279968,158585300,76.502007
2012-10-01,671.159973,676.75,587.700012,595.320007,150628900,77.460548
2012-09-04,665.76001,705.070007,656.00,667.100037,128080400,86.800262
2012-08-01,615.910034,680.869995,600.25,665.23999,93636100,86.558243
2012-07-02,584.730042,619.869995,570.00,610.76001,111571100,79.129791
2012-06-01,569.159973,590.00,548.50,584.00,98539600,75.662781
2012-05-01,584.900024,596.76001,522.179993,577.730042,131795600,74.850441
2012-04-02,601.830017,644.00,555.00,583.97998,201314100,75.660187
2012-03-01,548.169983,621.450012,516.219971,599.549988,185402000,77.677429
2012-02-01,458.410004,547.610046,453.980011,542.440002,154007000,70.27829
2012-01-03,409.399994,458.240021,409.00,456.47998,90644200,59.141342
2011-12-01,382.540009,409.089996,377.679993,405.00,77216600,52.471619
2011-11-01,397.410004,408.00,363.320007,382.199982,111543300,49.517658
2011-10-03,380.369995,426.699982,354.23999,404.779999,161034800,52.443115
2011-09-01,385.820007,422.860016,366.480011,381.320007,149108200,49.403648
2011-08-01,397.779999,399.50,353.019989,384.830017,181143300,49.858402
2011-07-01,335.950012,404.50,334.200012,390.47998,141081600,50.590412
2011-06-01,348.869995,352.130005,310.50,335.670013,108940900,43.489254
2011-05-02,349.73999,351.830017,329.420013,347.829987,87259700,45.064697
2011-04-01,351.110016,355.130005,320.160004,350.130005,128252100,45.362682
2011-03-01,355.470001,361.669983,326.259979,348.51001,125874700,45.152802
2011-02-01,341.299988,364.899994,337.720001,353.210022,127618700,45.76173
2011-01-03,325.640015,348.600006,324.840027,339.320007,140234700,43.962147
2010-12-01,315.269989,326.660004,314.890015,322.559998,81440200,41.79073
2010-11-01,302.220001,321.300018,297.76001,311.149994,119166000,40.312454
2010-10-01,286.149994,319.00,277.769989,300.980011,150774800,38.994835
2010-09-01,247.469986,294.730011,246.279999,283.75,149087000,36.76252
2010-08-02,260.440002,264.279999,235.559998,243.100006,113748900,31.495928
2010-07-01,254.300003,265.990021,239.600006,257.25,191879900,33.329193
2010-06-01,259.690002,279.009979,242.199982,251.529999,197621600,32.588116
2010-05-03,263.839996,267.880005,199.25,256.880005,236228300,33.281258
2010-04-01,237.410004,272.459991,232.75,261.089996,153685600,33.826706
2010-03-01,205.75,237.47998,205.449997,235.000015,136791600,30.446495
2010-02-01,192.369995,205.169998,190.850006,204.619995,148467600,26.510475
2010-01-04,213.429993,215.589996,190.25,192.059998,215986100,24.883207
